HEADER_TIME_STAMP,SR
2018-06-14 14:47:44.015,51.000
2018-06-14 14:47:45.015,50.000
2018-06-14 14:47:46.034,51.000
2018-06-14 14:47:47.034,50.000
2018-06-14 14:47:48.035,50.000
2018-06-14 14:47:49.036,50.000
2018-06-14 14:47:50.055,51.000
2018-06-14 14:47:51.074,51.000
2018-06-14 14:47:52.075,50.000
2018-06-14 14:47:53.075,50.000
2018-06-14 14:47:54.075,50.000
2018-06-14 14:47:55.075,50.000
2018-06-14 14:47:56.075,50.000
2018-06-14 14:47:57.095,51.000
2018-06-14 14:47:58.095,50.000
2018-06-14 14:47:59.115,51.000
2018-06-14 14:48:00.134,51.000
2018-06-14 14:48:01.134,50.000
2018-06-14 14:48:02.134,50.000
2018-06-14 14:48:03.134,50.000
2018-06-14 14:48:04.134,50.000
2018-06-14 14:48:05.135,50.000
2018-06-14 14:48:06.136,50.000
2018-06-14 14:48:07.156,51.000
2018-06-14 14:48:08.174,51.000
2018-06-14 14:48:09.174,50.000
2018-06-14 14:48:10.175,50.000
2018-06-14 14:48:11.175,50.000
2018-06-14 14:48:12.175,50.000
2018-06-14 14:48:13.194,51.000
2018-06-14 14:48:14.195,50.000
2018-06-14 14:48:15.195,50.000
2018-06-14 14:48:16.215,51.000
2018-06-14 14:48:17.235,51.000
2018-06-14 14:48:18.235,50.000
2018-06-14 14:48:19.235,50.000
2018-06-14 14:48:20.254,51.000
2018-06-14 14:48:21.255,50.000
2018-06-14 14:48:22.274,51.000
2018-06-14 14:48:23.274,50.000
2018-06-14 14:48:24.275,50.000
2018-06-14 14:48:25.295,51.000
2018-06-14 14:48:26.314,51.000
2018-06-14 14:48:27.315,50.000
2018-06-14 14:48:28.334,51.000
2018-06-14 14:48:29.334,50.000
2018-06-14 14:48:30.335,50.000
2018-06-14 14:48:31.354,51.000
2018-06-14 14:48:32.354,50.000
2018-06-14 14:48:33.354,50.000
2018-06-14 14:48:34.354,50.000
2018-06-14 14:48:35.354,50.000
2018-06-14 14:48:36.354,50.000
2018-06-14 14:48:37.354,50.000
2018-06-14 14:48:38.354,50.000
2018-06-14 14:48:39.354,50.000
2018-06-14 14:48:40.354,50.000
2018-06-14 14:48:41.356,50.000
2018-06-14 14:48:42.374,51.000
2018-06-14 14:48:43.374,50.000
2018-06-14 14:48:44.375,50.000
2018-06-14 14:48:45.375,50.000
2018-06-14 14:48:46.395,51.000
2018-06-14 14:48:47.395,50.000
2018-06-14 14:48:48.395,50.000
2018-06-14 14:48:49.415,51.000
2018-06-14 14:48:50.415,50.000
2018-06-14 14:48:51.434,51.000
2018-06-14 14:48:52.434,50.000
2018-06-14 14:48:53.434,50.000
2018-06-14 14:48:54.434,50.000
2018-06-14 14:48:55.434,50.000
2018-06-14 14:48:56.435,50.000
2018-06-14 14:48:57.435,50.000
2018-06-14 14:48:58.435,50.000
2018-06-14 14:48:59.435,50.000
2018-06-14 14:49:00.435,50.000
2018-06-14 14:49:01.435,50.000
2018-06-14 14:49:02.454,51.000
2018-06-14 14:49:03.455,50.000
2018-06-14 14:49:04.474,51.000
2018-06-14 14:49:05.474,50.000
2018-06-14 14:49:06.474,50.000
2018-06-14 14:49:07.474,50.000
2018-06-14 14:49:08.474,50.000
2018-06-14 14:49:09.475,50.000
2018-06-14 14:49:10.495,51.000
2018-06-14 14:49:11.495,50.000
2018-06-14 14:49:12.514,51.000
2018-06-14 14:49:13.515,50.000
2018-06-14 14:49:14.535,51.000
2018-06-14 14:49:15.555,51.000
2018-06-14 14:49:16.574,51.000
2018-06-14 14:49:17.574,50.000
2018-06-14 14:49:18.575,50.000
2018-06-14 14:49:19.595,51.000
2018-06-14 14:49:20.595,50.000
2018-06-14 14:49:21.615,51.000
2018-06-14 14:49:22.635,51.000
2018-06-14 14:49:23.654,51.000
2018-06-14 14:49:24.654,50.000
2018-06-14 14:49:25.654,50.000
2018-06-14 14:49:26.654,50.000
2018-06-14 14:49:27.654,50.000
2018-06-14 14:49:28.654,50.000
2018-06-14 14:49:29.654,50.000
2018-06-14 14:49:30.654,50.000
2018-06-14 14:49:31.656,50.000
2018-06-14 14:49:32.674,51.000
2018-06-14 14:49:33.674,50.000
2018-06-14 14:49:34.675,50.000
2018-06-14 14:49:35.675,50.000
2018-06-14 14:49:36.695,51.000
2018-06-14 14:49:37.695,50.000
2018-06-14 14:49:38.715,51.000
2018-06-14 14:49:39.734,51.000
2018-06-14 14:49:40.734,50.000
2018-06-14 14:49:41.735,50.000
2018-06-14 14:49:42.735,50.000
2018-06-14 14:49:43.755,51.000
2018-06-14 14:49:44.774,51.000
2018-06-14 14:49:45.775,50.000
2018-06-14 14:49:46.794,51.000
2018-06-14 14:49:47.795,50.000
2018-06-14 14:49:48.815,51.000
2018-06-14 14:49:49.834,51.000
2018-06-14 14:49:50.834,50.000
