HEADER_TIME_STAMP,VALUE,HZ,DEVICE,SR,GRANGE,NAME,TYPE
2018-06-14 14:25:55.000,2.102720758,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:00.000,2.109486779,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:05.000,2.108100297,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:10.000,2.108290041,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:15.000,2.102217258,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:20.000,2.096709770,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:25.000,2.105300298,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:30.000,2.100253958,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:35.000,2.101756892,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:40.000,2.100864125,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:45.000,2.099945711,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:50.000,2.098474873,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:26:55.000,2.101987273,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:00.000,2.104273162,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:05.000,2.099598328,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:10.000,2.099665448,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:15.000,2.107997283,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:20.000,2.095355001,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:25.000,2.112632799,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:30.000,2.094337703,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:35.000,2.098675197,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:40.000,2.106228161,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:45.000,2.109417799,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:50.000,2.108912469,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:27:55.000,2.091857742,1,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:33:30.000,8.276368174,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:33:35.000,8.305248339,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:33:40.000,8.295630148,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:33:45.000,8.292152219,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:33:50.000,8.292714945,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:33:55.000,8.290772934,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:00.000,8.300573085,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:05.000,8.320444271,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:10.000,8.292613282,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:15.000,8.336579475,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:20.000,8.314091878,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:25.000,8.287798376,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:30.000,8.287630163,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:35.000,8.292848743,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:40.000,8.306019514,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:45.000,8.288900348,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:50.000,8.303514005,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:34:55.000,8.294477920,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:00.000,8.286020526,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:05.000,8.319117433,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:10.000,8.323204945,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:15.000,8.293266897,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:20.000,8.309430397,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:25.000,8.297184999,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:30.000,8.287777812,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:35.000,8.303431429,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:40.000,8.291351778,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:45.000,8.297264456,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:50.000,8.277593478,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:35:55.000,8.306171482,2,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:44:30.000,18.673830480,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:44:35.000,18.659027633,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:44:40.000,18.637135621,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:44:45.000,18.659456273,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:44:50.000,18.658319176,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:44:55.000,18.629849630,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:00.000,18.645885963,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:05.000,18.692430694,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:10.000,18.681934915,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:15.000,18.634922267,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:20.000,18.643274176,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:25.000,18.686468422,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:30.000,18.666191566,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:35.000,18.603286262,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:40.000,18.697958120,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:45.000,18.611997977,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:50.000,18.605568270,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:45:55.000,18.658504478,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:00.000,18.657403219,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:05.000,18.677473081,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:10.000,18.661232907,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:15.000,18.633135668,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:20.000,18.633089615,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:25.000,18.622109897,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:30.000,18.611578546,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:35.000,18.664255613,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:40.000,18.674334939,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:45.000,18.657963547,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:50.000,18.641176797,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:46:55.000,18.630120837,3,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:00.000,31.453904949,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:05.000,31.334756032,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:10.000,31.375279652,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:15.000,31.501997188,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:20.000,31.537035946,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:25.000,31.464140236,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:30.000,31.439117470,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:35.000,31.549120089,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:40.000,31.296159829,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:45.000,31.423277231,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:50.000,31.563851719,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:48:55.000,31.487893097,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:00.000,31.688942490,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:05.000,31.443834184,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:10.000,31.856125437,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:15.000,31.574473087,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:20.000,31.711473257,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:25.000,31.825474926,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:30.000,31.895947091,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:35.000,31.751873307,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:40.000,31.624300783,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:45.000,31.975288054,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:50.000,31.812845320,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:49:55.000,31.757491287,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:50:00.000,31.896865660,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:50:05.000,31.845607562,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:50:10.000,32.219851663,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:50:15.000,32.073749320,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:50:20.000,32.008649015,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:50:25.000,32.230112418,4,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:55:30.000,38.910727742,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
2018-06-14 14:55:35.000,38.845779348,5,GT9X,100,16,"GT9X: 100Hz, 16g",mims_noextrap
